track_id,num_artists,artist_names,primary_artist,avg_artist_popularity,max_artist_popularity,min_artist_popularity,total_artist_followers,avg_artist_followers,max_artist_followers,artist_genres
4RX1akxesJEFSvStbMQnop,3,Calvin Harris|Florence Welch|Tiësto,Calvin Harris,74.66666666666667,84,61,31090413,10363471.0,23065439,"big room,house,trance,edm"
7wZorJD5loL9ceLJ67sg6S,2,Martin Garrix|John & Michel,Martin Garrix,37.0,74,0,15121998,7560999.0,15121639,"progressive house,electronica,edm"
6F99SN9dlqtPJYBp283Num,1,Headhunterz,Headhunterz,54.0,54,54,504934,504934.0,504934,"big room,hardstyle,melbourne bounce,frenchcore,hardcore"
6W4GTXLYX8HkmZGmVkfrSC,2,Damien Jurado|filous,Damien Jurado,46.0,46,46,314824,157412.0,198761,"indie folk,tropical house"
0XS2z0E0ox7F4JHYKKR4wK,1,Fedde Le Grand,Fedde Le Grand,56.0,56,56,386388,386388.0,386388,
7thOGpKaWpPotq2U37UItx,2,Matisse & Sadko|SMBDY,Matisse & Sadko,42.0,55,29,154686,77343.0,152369,"big room,progressive house,edm"
6XowBnr8ZkGylaV0iKBKDq,2,Basta|Noggano,Basta,52.5,58,47,2068694,1034347.0,1790301,
0xMd5bcWTbyXS7wPrBtZA6,1,Ellie Goulding,Ellie Goulding,77.0,77,77,13184772,13184772.0,13184772,
3UW4SUehKFC6qmaTZ3OiTp,4,Farruko|Pedro Capó|Justin Quiles|Zion & Lennox,Farruko,74.75,82,65,32075757,8018939.25,16996633,"latin pop,trap latino,latin,reggaeton"
35gK47sPzznKnaKsEpKU4z,1,Rio Diege,Rio Diege,0.0,0,0,108,108.0,108,"chicago house,freestyle,miami bass"
3B0LP4YpvtPNyLV98I740L,1,All Time Low,All Time Low,69.0,69,69,3148186,3148186.0,3148186,"punk,emo,pop punk"
1rIKgCH4H52lrvDcz50hS8,1,Zara Larsson,Zara Larsson,77.0,77,77,10893230,10893230.0,10893230,
2xrW6sZRmahuSAQMxO4BmJ,1,The Score,The Score,64.0,64,64,1549073,1549073.0,1549073,
1AsRjeavWPH8sCQbjMP8Xh,1,Slaughter,Slaughter,42.0,42,42,679443,679443.0,679443,"glam metal,hard rock,glam rock"
44ADyYoY5liaRa3EOAl4uf,1,Miley Cyrus,Miley Cyrus,80.0,80,80,26510494,26510494.0,26510494,
65elkRvvAVBuQupIVoZfn3,2,Daniel Skye|Cameron Dallas,Daniel Skye,22.5,24,21,760998,380499.0,392750,
4IhBhHVdPgC1QABBLCeK2o,1,Freakangel,Freakangel,22.0,22,22,12971,12971.0,12971,"darkwave,ebm,industrial,industrial rock,industrial metal"
3KcsyKN0GyGQYGZJJhIx3L,2,Chamillionaire|Lil' Flip,Chamillionaire,54.0,56,52,1650095,825047.5,1015257,"crunk,southern hip hop"
3ZfACixzMNAbRcpGwEkLRe,1,T.I.,T.I.,75.0,75,75,5121784,5121784.0,5121784,southern hip hop
7vFdDL6rEnsQ3FwKUMhVKY,1,Sheyna,Sheyna,0.0,0,0,323,323.0,323,bass music
78KZRJd58A4C9vI2J1z400,1,LAGOS,LAGOS,63.0,63,63,219268,219268.0,219268,
1nzKLH9FeSV4KZdBwdCPQg,2,Rahmeen|Lil Yachty,Rahmeen,37.5,75,0,10893137,5446568.5,10891823,
1nufXiTCTTAeJfO9hLHvO8,1,ARTY,ARTY,52.0,52,52,195524,195524.0,195524,"big room,progressive house,trance,progressive trance"
7nAO8p9s39A3lYXhRezK98,4,Sander van Doorn|Martin Garrix|DVBBS|Aleesia,Sander van Doorn,54.5,74,42,16541411,4135352.75,15121639,"electronica,progressive house,big room,slap house,edm"
0PIYzFAmlxAy0NontCSrzg,2,Breadwinna Gdawg|Big Steve,Breadwinna Gdawg,17.5,24,11,20526,10263.0,14549,southern hip hop
5ecZWU5uQOiCVSnPxBZNmT,1,Miley Cyrus,Miley Cyrus,80.0,80,80,26510494,26510494.0,26510494,
2fQYA6cFN4ClfI4OmtpC98,5,Tiësto|Jonas Blue|Rita Ora|Benny Benassi|BB Team,Tiësto,61.8,79,28,20861938,4172387.6,8412961,"big room,electro house,edm,tropical house,trance,house"
4owRIrDAJPqNWGf2SGC3H8,1,$uicideboy$,$uicideboy$,83.0,83,83,8929323,8929323.0,8929323,"cloud rap,horrorcore,emo rap,trap metal,underground hip hop"
5jOvmh1DYmaiBPETL6HCRY,1,Jennifer Lopez,Jennifer Lopez,74.0,74,74,13693496,13693496.0,13693496,
0PXukVbYpvz40KcEFKnIw7,2,Young T & Bugsey|Headie One,Young T & Bugsey,56.0,61,51,1038546,519273.0,666386,"drill,grime,uk grime,afroswing,uk drill"
18Ve6vZ4GaYvZmA1mepYOd,1,CHRYS THOMPSON,CHRYS THOMPSON,11.0,11,11,408,408.0,408,
7qVbgfYUPrcPcJtqZoRis3,2,Kodaline|filous,Kodaline,55.5,65,46,3297035,1648517.5,3180972,tropical house
4EJbzh663RrFkRepNyU2iX,1,The Swing Bot,The Swing Bot,28.0,28,28,3584,3584.0,3584,"electro swing,swing music"
14PlDNjNh3pXyHXzkhX8n5,3,6ix9ine|Fetty Wap|A Boogie Wit da Hoodie,6ix9ine,71.66666666666667,76,69,21038995,7012998.333333333,8970879,melodic rap
5z3xph7sSMcsHfDOxX2Uf1,2,Beto Cuevas|María José,Beto Cuevas,56.5,65,48,3642171,1821085.5,3322952,"latin pop,latin rock,rock en español"
22oZYBEW53kgOKp3gVVaQm,3,Everything Is Recorded|Syd|Sampha,Everything Is Recorded,53.666666666666664,62,38,1535389,511796.3333333333,863099,"indie soul,alternative r&b"
4vHTCgx5Y9TZaWUjIyuLvo,2,Capital Bra|Gzuz,Capital Bra,67.5,69,66,5887550,2943775.0,4326193,german hip hop
3O83h4LS797N23DpweeRAa,4,Jax Jones|Martin Solveig|Madison Beer|Europa,Jax Jones,61.25,71,46,10846564,2711641.0,8402079,french house
6jtctBYvybxCAmlg7nT6CS,1,Queen,Queen,82.0,82,82,55092607,55092607.0,55092607,"rock,classic rock,glam rock"
6nxHMqTNKWlQnx5AFxz1iX,1,Kyuss,Kyuss,49.0,49,49,533586,533586.0,533586,"space rock,doom metal,sludge metal,stoner metal,stoner rock"
2MD2P7Jd4ZzF2VrbCrE8vU,1,Gidge,Gidge,41.0,41,41,94064,94064.0,94064,
1oLxfF4dmgoKunk9LCQBCX,3,Sam Feldt|Lush & Simon|INNA,Sam Feldt,55.666666666666664,69,34,2353677,784559.0,1521898,"tropical house,progressive house,europop"
3pASfHJfBpA0JIjE1XBGSV,1,Caza,Caza,38.0,38,38,14058,14058.0,14058,moombahton
6QsaoM6upioGbe4WZhLCmc,1,TOTO,TOTO,73.0,73,73,3694564,3694564.0,3694564,"soft rock,yacht rock"
0RTS8C9bflJF1f2aZh5muX,3,TWO LANES|Kwesi|Price Park,TWO LANES,34.666666666666664,56,5,163778,54592.666666666664,156690,"melodic bass,future bass"
2bXI4Rbw1D7aVeHWLjn1Lb,1,The Notorious B.I.G.,The Notorious B.I.G.,75.0,75,75,12709627,12709627.0,12709627,"old school hip hop,east coast hip hop,hip hop,gangster rap"
7mkT9kS25nUIoNkm02Ww0n,4,Rudimental|Jess Glynne|Macklemore|Dan Caplen,Rudimental,67.75,74,58,7431474,1857868.5,3162584,
5aYVqxyetmT5OYmvZCA90X,1,Foghat,Foghat,50.0,50,50,948728,948728.0,948728,"southern rock,classic rock"
25wKvRBN0js6yQL8bcVxQ0,1,August Wahh,August Wahh,16.0,16,16,6387,6387.0,6387,"pinoy indie,pinoy r&b,indie r&b"
3BEuTuiAgJLROYMELwLujm,1,Carlos Vives,Carlos Vives,72.0,72,72,6786185,6786185.0,6786185,"latin pop,latin,colombian pop,vallenato"
2VdmtbDiJ8K335JH45rEyp,1,Wake Me,Wake Me,28.0,28,28,11720,11720.0,11720,
6AVbtprNn18sQcX54K5MTo,1,Maroon 5,Maroon 5,84.0,84,84,45672509,45672509.0,45672509,pop
5wHwJ5dblqSjmtbzxWMDdk,3,Loreno Mayer|Kanallia|Enya Angel,Loreno Mayer,15.333333333333334,25,9,5578,1859.3333333333333,3125,"progressive house,progressive trance,big room,trance,melbourne bounce"
4OwMnNi3kC2DEIrxMTHc3M,1,Robert Palmer,Robert Palmer,56.0,56,56,1100626,1100626.0,1100626,yacht rock
3FzdllHrMtoo9EMz9bhaMh,1,Deitrick Haddon,Deitrick Haddon,41.0,41,41,327860,327860.0,327860,"gospel,gospel r&b"
4P5KoWXOxwuobLmHXLMobV,1,Nirvana,Nirvana,80.0,80,80,23285526,23285526.0,23285526,"rock,grunge"
7c62jZO67cCV5MpVBgUd8A,2,Felix Cartal|Koko LaRoo,Felix Cartal,33.0,47,19,110829,55414.5,110429,
1Avnd5xLg7HmaNofmYk7RQ,1,Parcels,Parcels,70.0,70,70,1073221,1073221.0,1073221,indie soul
3XRZYgmphJbmMEclYCx7Wx,1,Soda Stereo,Soda Stereo,73.0,73,73,10059020,10059020.0,10059020,"rock en español,latin alternative,latin rock,argentine rock"
6wJrqTE6c4NtfDqAcSRcBf,2,6ix9ine|DJ SpinKing,6ix9ine,57.5,69,46,6959096,3479548.0,6942380,
7gZr2WnSA2tX1dKcilDhg7,2,Dwin|ECHO,Dwin,45.5,46,45,41389,20694.5,36337,"hypertechno,techno,slap house"
2H2Tg24kqd1eA3F7BSQFSi,1,Alejandro Fernández,Alejandro Fernández,75.0,75,75,8646641,8646641.0,8646641,"latin pop,mariachi,ranchera,bolero"
1GavpIO07KcErSjy84IejT,4,Jidenna|Janelle Monáe|St. Beauty|Nana Kwabena,Jidenna,41.5,64,25,1921852,480463.0,1498417,alternative r&b
62vwXXITnuKIaCabwWXyhm,3,Felp 22|Meno Tody|Marginal Supply,Felp 22,51.0,56,42,878543,292847.6666666667,625173,"boom bap,trap,trap funk,brazilian trap,brazilian hip hop"
631W6GfTqgZ0YAeoICDcLf,1,Black Sabbath,Black Sabbath,75.0,75,75,9732194,9732194.0,9732194,"metal,heavy metal,hard rock,doom metal,rock,stoner rock"
668JOhJXCQeUkAsjfREN78,2,Fuego|Duki,Fuego,68.5,79,58,13555626,6777813.0,13271181,"trap latino,reggaeton,argentine trap,trap"
5rPQTpvG1ulrJ52Jb204h7,1,Kulbir Jhinjer,Kulbir Jhinjer,48.0,48,48,1449922,1449922.0,1449922,"punjabi pop,bhangra,punjabi hip hop"
72yrTOnehmi3S82axqhEkF,1,Wolfgang Gartner,Wolfgang Gartner,40.0,40,40,202694,202694.0,202694,"dubstep,electro house,house"
7258lBUFSE45SJmxoJmfYk,3,Alan Walker|Gavin James|Lemarroy,Alan Walker,49.333333333333336,77,17,41951623,13983874.333333334,41229040,
0G7Ik0gmxJBFJKAmK2p1k9,1,Astrid S,Astrid S,62.0,62,62,1379138,1379138.0,1379138,norwegian pop
7EixVppWsnZOvJJ4ZqET14,1,The Young Escape,The Young Escape,39.0,39,39,45707,45707.0,45707,"ccm,christian pop,cedm,pop worship,christian"
2JEiLgAJl2jRakXjgAyATX,1,Golden Earring,Golden Earring,52.0,52,52,307681,307681.0,307681,"classic rock,nederpop"
3TsRqBTufb4Q699WyhanVC,1,Rels B,Rels B,81.0,81,81,9959017,9959017.0,9959017,"trap latino,urbano latino"
0IU79guOo0dUEwCCU0JjJz,3,NAEMS|Maski & Banga|Revealed Recordings,NAEMS,25.0,34,16,70915,23638.333333333332,50915,"future house,hypertechno,acid techno,progressive house,bass house,big room,edm"
4XizBlyqR7ZGVTX0Fyonm2,1,The Smashing Pumpkins,The Smashing Pumpkins,73.0,73,73,6057039,6057039.0,6057039,"rock,alternative rock"
0GoXEhMzYwI1LCaohRqxGl,1,Whiskey Myers,Whiskey Myers,68.0,68,68,1136673,1136673.0,1136673,"texas country,red dirt,southern rock,country rock,outlaw country,country"
3ja5IfR4SVatM0xP1Zv7NM,5,Babyface|LL COOL J|Howard Hewett|Jody Watley|Jeffrey Daniels,Babyface,43.2,61,25,3752774,750554.8,1883801,"new jack swing,r&b,east coast hip hop,freestyle,quiet storm,contemporary r&b,old school hip hop"
0a9opaQvV5JPQZbgeO1HXj,1,Starkillers,Starkillers,43.0,43,43,22451,22451.0,22451,
60OKW0mZiPFHVpHl3eHueg,1,10 Years,10 Years,55.0,55,55,726466,726466.0,726466,"alternative metal,post-grunge"
3ToCwT51GYA1HTDJxy7ZZX,1,GZA,GZA,58.0,58,58,634247,634247.0,634247,"boom bap,old school hip hop,east coast hip hop,hip hop"
1N03rPhaLta4ADp2BWQlpe,1,Chinese Kitty,Chinese Kitty,30.0,30,30,154895,154895.0,154895,
340sV0G2e1h5jWsMyDRmc9,2,NLSN|James Carter,NLSN,51.0,60,42,79903,39951.5,71262,tropical house
7dg1I4ZyqF2jkQB9Oi3prY,1,Maml,Maml,4.0,4,4,422,422.0,422,
1Xi28qSSoARTXiqMwb8Srg,2,Childish Gambino|Christian Rich,Childish Gambino,58.5,77,40,14543102,7271551.0,14524234,
0KRKqIJPX6LT9v1ZQGbfn7,1,Ghostemane,Ghostemane,65.0,65,65,3696125,3696125.0,3696125,"cloud rap,horrorcore,emo rap,trap metal,rap metal"
694WTOYVnKjIF2SpGK820u,1,Chase,Chase,2.0,2,2,435,435.0,435,
7zL1R4SiaifOwieMmxsG7i,1,Sean C. Johnson,Sean C. Johnson,28.0,28,28,29628,29628.0,29628,"neo soul,christian hip hop,gospel,gospel r&b"
7IASPK6EZGNTHTxT6yTp0G,1,India.Arie,India.Arie,52.0,52,52,933206,933206.0,933206,neo soul
